500
   12   60    7.1617
   12   80    7.1039
   12  100    7.0449
   12  120    6.9916
   12  140    6.9499
   12  160    6.9235
   24 -180    7.0632
   24 -160    7.0778
   24 -140    7.1218
   24 -120     7.194
   24 -100    7.2906
   24  -80    7.4032
   24  -60    7.5182
   24  -40    7.6185
   24  -20    7.6872
   24    0    7.7116
   24   20    7.6872
   24   40    7.6185
   24   60    7.5182
   24   80    7.4032
   24  100    7.2906
   24  120     7.194
   24  140    7.1218
   24  160    7.0778
   36 -180    7.5108
   36 -160    7.5268
   36 -140    7.5765
   36 -120    7.6636
   36 -100    7.7885
   36  -80    7.9433
   36  -60    8.1094
   36  -40    8.2596
   36  -20    8.3646
   36    0    8.4025
   36   20    8.3646
   36   40    8.2596
   36   60    8.1094
   36   80    7.9433
   36  100    7.7885
   36  120    7.6636
   36  140    7.5765
   36  160    7.5268
   48 -180    8.3959
   48 -160    8.4077
   48 -140    8.4482
   48 -120    8.5297
   48 -100    8.6615
   48  -80    8.8404
   48  -60    9.0448
   48  -40    9.2376
   48  -20    9.3759
   48    0    9.4263
   48   20    9.3759
   48   40    9.2376
   48   60    9.0448
   48   80    8.8404
   48  100    8.6615
   48  120    8.5297
   48  140    8.4482
   48  160    8.4077
   60 -180    9.9585
   60 -160    9.9594
   60 -140    9.9724
   60 -120    10.022
   60 -100    10.131
   60  -80    10.307
   60  -60    10.527
   60  -40    10.746
   60  -20    10.909
   60    0    10.969
   60   20    10.909
   60   40    10.746
   60   60    10.527
   60   80    10.307
   60  100    10.131
   60  120    10.022
   60  140    9.9724
   60  160    9.9594
   72 -180      12.5
   72 -160    12.484
   72 -140    12.451
   72 -120    12.439
   72 -100    12.487
   72  -80    12.616
   72  -60     12.81
   72  -40     13.02
   72  -20    13.183
   72    0    13.244
   72   20    13.183
   72   40     13.02
   72   60     12.81
   72   80    12.616
   72  100    12.487
   72  120    12.439
   72  140    12.451
   72  160    12.484
   84 -180    14.638
   84 -160    14.615
   84 -140     14.56
   84 -120    14.503
   84 -100    14.479
   84  -80     14.51
   84  -60    14.592
   84  -40    14.696
   84  -20    14.782
   84    0    14.816
   84   20    14.782
   84   40    14.696
   84   60    14.592
   84   80     14.51
   84  100    14.479
   84  120    14.503
   84  140     14.56
   84  160    14.615
500
    0 -180    6.9894
    0 -160    6.9894
    0 -140    6.9894
    0 -120    6.9894
    0 -100    6.9894
    0  -80    6.9894
    0  -60    6.9894
    0  -40    6.9894
    0  -20    6.9894
    0    0    6.9894
    0   20    6.9894
    0   40    6.9894
    0   60    6.9894
    0   80    6.9894
    0  100    6.9894
    0  120    6.9894
    0  140    6.9894
    0  160    6.9894
   12 -180    6.9145
   12 -160    6.9235
   12 -140    6.9499
   12 -120    6.9916
   12 -100    7.0449
   12  -80    7.1039
   12  -60    7.1617
   12  -40    7.2104
   12  -20     7.243
   12    0    7.2545
   12   20     7.243
   12   40    7.2104
   12   60    7.1617
   12   80    7.1039
   12  100    7.0449
   12  120    6.9916
   12  140    6.9499
   12  160    6.9235
   24 -180    7.0632
   24 -160    7.0778
   24 -140    7.1218
   24 -120     7.194
   24 -100    7.2906
   24  -80    7.4032
   24  -60    7.5182
   24  -40    7.6185
   24  -20    7.6872
   24    0    7.7116
   24   20    7.6872
   24   40    7.6185
   24   60    7.5182
   24   80    7.4032
   24  100    7.2906
   24  120     7.194
   24  140    7.1218
   24  160    7.0778
   36 -180    7.5108
   36 -160    7.5268
   36 -140    7.5765
   36 -120    7.6636
   36 -100    7.7885
   36  -80    7.9433
   36  -60    8.1094
   36  -40    8.2596
   36  -20    8.3646
   36    0    8.4025
   36   20    8.3646
   36   40    8.2596
   36   60    8.1094
   36   80    7.9433
   36  100    7.7885
   36  120    7.6636
   36  140    7.5765
   36  160    7.5268
   48 -180    8.3959
   48 -160    8.4077
   48 -140    8.4482
   48 -120    8.5297
   48 -100    8.6615
   48  -80    8.8404
   48  -60    9.0448
   48  -40    9.2376
   48  -20    9.3759
   48    0    9.4263
   48   20    9.3759
   48   40    9.2376
   48   60    9.0448
   48   80    8.8404
   48  100    8.6615
   48  120    8.5297
   48  140    8.4482
   48  160    8.4077
   60 -180    9.9585
   60 -160    9.9594
   60 -140    9.9724
   60 -120    10.022
   60 -100    10.131
   60  -80    10.307
   60  -60    10.527
   60  -40    10.746
   60  -20    10.909
   60    0    10.969
   60   20    10.909
   60   40    10.746
   60   60    10.527
   60   80    10.307
   60  100    10.131
   60  120    10.022
   60  140    9.9724
   60  160    9.9594
   72 -180      12.5
   72 -160    12.484
   72 -140    12.451
   72 -120    12.439
   72 -100    12.487
   72  -80    12.616
   72  -60     12.81
   72  -40     13.02
   72  -20    13.183
   72    0    13.244
   72   20    13.183
   72   40     13.02
   72   60     12.81
   72   80    12.616
   72  100    12.487
   72  120    12.439
   72  140    12.451
   72  160    12.484
   84 -180    14.638
   84 -160    14.615
   84 -140     14.56
   84 -120    14.503
   84 -100    14.479
   84  -80     14.51
   84  -60    14.592
   84  -40    14.696
   84  -20    14.782
   84    0    14.816
   84   20    14.782
   84   40    14.696
   84   60    14.592
   84   80     14.51
   84  100    14.479
   84  120    14.503
   84  140     14.56
   84  160    14.615
500
    0 -180    6.9894
    0 -160    6.9894
    0 -140    6.9894
    0 -120    6.9894
    0 -100    6.9894
    0  -80    6.9894
    0  -60    6.9894
    0  -40    6.9894
    0  -20    6.9894
    0    0    6.9894
    0   20    6.9894
    0   40    6.9894
    0   60    6.9894
    0   80    6.9894
    0  100    6.9894
    0  120    6.9894
    0  140    6.9894
    0  160    6.9894
   12 -180    6.9145
   12 -160    6.9235
   12 -140    6.9499
   12 -120    6.9916
   12 -100    7.0449
   12  -80    7.1039
   12  -60    7.1617
   12  -40    7.2104
   12  -20     7.243
   12    0    7.2545
   12   20     7.243
   12   40    7.2104
   12   60    7.1617
   12   80    7.1039
   12  100    7.0449
   12  120    6.9916
   12  140    6.9499
   12  160    6.9235
   24 -180    7.0632
   24 -160    7.0778
   24 -140    7.1218
   24 -120     7.194
   24 -100    7.2906
   24  -80    7.4032
   24  -60    7.5182
   24  -40    7.6185
   24  -20    7.6872
   24    0    7.7116
   24   20    7.6872
   24   40    7.6185
   24   60    7.5182
   24   80    7.4032
   24  100    7.2906
   24  120     7.194
   24  140    7.1218
   24  160    7.0778
   36 -180    7.5108
   36 -160    7.5268
   36 -140    7.5765
   36 -120    7.6636
   36 -100    7.7885
   36  -80    7.9433
   36  -60    8.1094
   36  -40    8.2596
   36  -20    8.3646
   36    0    8.4025
   36   20    8.3646
   36   40    8.2596
   36   60    8.1094
   36   80    7.9433
   36  100    7.7885
   36  120    7.6636
   36  140    7.5765
   36  160    7.5268
   48 -180    8.3959
   48 -160    8.4077
   48 -140    8.4482
   48 -120    8.5297
   48 -100    8.6615
   48  -80    8.8404
   48  -60    9.0448
   48  -40    9.2376
   48  -20    9.3759
   48    0    9.4263
   48   20    9.3759
   48   40    9.2376
   48   60    9.0448
   48   80    8.8404
   48  100    8.6615
   48  120    8.5297
   48  140    8.4482
   48  160    8.4077
   60 -180    9.9585
   60 -160    9.9594
   60 -140    9.9724
   60 -120    10.022
   60 -100    10.131
   60  -80    10.307
   60  -60    10.527
   60  -40    10.746
   60  -20    10.909
   60    0    10.969
   60   20    10.909
   60   40    10.746
   60   60    10.527
   60   80    10.307
   60  100    10.131
   60  120    10.022
   60  140    9.9724
   60  160    9.9594
   72 -180      12.5
   72 -160    12.484
   72 -140    12.451
   72 -120    12.439
   72 -100    12.487
   72  -80    12.616
   72  -60     12.81
   72  -40     13.02
   72  -20    13.183
   72    0    13.244
   72   20    13.183
   72   40     13.02
   72   60     12.81
   72   80    12.616
   72  100    12.487
   72  120    12.439
   72  140    12.451
   72  160    12.484
   84 -180    14.638
   84 -160    14.615
   84 -140     14.56
   84 -120    14.503
   84 -100    14.479
   84  -80     14.51
   84  -60    14.592
   84  -40    14.696
   84  -20    14.782
   84    0    14.816
   84   20    14.782
   84   40    14.696
   84   60    14.592
   84   80     14.51
   84  100    14.479
   84  120    14.503
   84  140     14.56
   84  160    14.615
500
    0 -180    6.9894
    0 -160    6.9894
    0 -140    6.9894
    0 -120    6.9894
    0 -100    6.9894
    0  -80    6.9894
    0  -60    6.9894
    0  -40    6.9894
    0  -20    6.9894
    0    0    6.9894
    0   20    6.9894
    0   40    6.9894
    0   60    6.9894
    0   80    6.9894
    0  100    6.9894
    0  120    6.9894
    0  140    6.9894
    0  160    6.9894
   12 -180    6.9145
   12 -160    6.9235
   12 -140    6.9499
   12 -120    6.9916
   12 -100    7.0449
   12  -80    7.1039
   12  -60    7.1617
   12  -40    7.2104
   12  -20     7.243
   12    0    7.2545
   12   20     7.243
   12   40    7.2104
   12   60    7.1617
   12   80    7.1039
   12  100    7.0449
   12  120    6.9916
   12  140    6.9499
   12  160    6.9235
   24 -180    7.0632
   24 -160    7.0778
   24 -140    7.1218
   24 -120     7.194
   24 -100    7.2906
   24  -80    7.4032
   24  -60    7.5182
   24  -40    7.6185
   24  -20    7.6872
   24    0    7.7116
   24   20    7.6872
   24   40    7.6185
   24   60    7.5182
   24   80    7.4032
   24  100    7.2906
   24  120     7.194
   24  140    7.1218
   24  160    7.0778
   36 -180    7.5108
   36 -160    7.5268
   36 -140    7.5765
   36 -120    7.6636
   36 -100    7.7885
   36  -80    7.9433
   36  -60    8.1094
   36  -40    8.2596
   36  -20    8.3646
   36    0    8.4025
   36   20    8.3646
   36   40    8.2596
   36   60    8.1094
   36   80    7.9433
   36  100    7.7885
   36  120    7.6636
   36  140    7.5765
   36  160    7.5268
   48 -180    8.3959
   48 -160    8.4077
   48 -140    8.4482
   48 -120    8.5297
   48 -100    8.6615
   48  -80    8.8404
   48  -60    9.0448
   48  -40    9.2376
   48  -20    9.3759
   48    0    9.4263
   48   20    9.3759
   48   40    9.2376
   48   60    9.0448
   48   80    8.8404
   48  100    8.6615
   48  120    8.5297
   48  140    8.4482
   48  160    8.4077
   60 -180    9.9585
   60 -160    9.9594
   60 -140    9.9724
   60 -120    10.022
   60 -100    10.131
   60  -80    10.307
   60  -60    10.527
   60  -40    10.746
   60  -20    10.909
   60    0    10.969
   60   20    10.909
   60   40    10.746
   60   60    10.527
   60   80    10.307
   60  100    10.131
   60  120    10.022
   60  140    9.9724
   60  160    9.9594
   72 -180      12.5
   72 -160    12.484
   72 -140    12.451
   72 -120    12.439
   72 -100    12.487
   72  -80    12.616
   72  -60     12.81
   72  -40     13.02
   72  -20    13.183
   72    0    13.244
   72   20    13.183
   72   40     13.02
   72   60     12.81
   72   80    12.616
   72  100    12.487
   72  120    12.439
   72  140    12.451
   72  160    12.484
   84 -180    14.638
   84 -160    14.615
   84 -140     14.56
   84 -120    14.503
   84 -100    14.479
   84  -80     14.51
   84  -60    14.592
   84  -40    14.696
   84  -20    14.782
   84    0    14.816
   84   20    14.782
   84   40    14.696
   84   60    14.592
   84   80     14.51
   84  100    14.479
   84  120    14.503
   84  140     14.56
   84  160    14.615
500
    0 -180    6.9894
    0 -160    6.9894
    0 -140    6.9894
    0 -120    6.9894
    0 -100    6.9894
    0  -80    6.9894
    0  -60    6.9894
    0  -40    6.9894
    0  -20    6.9894
    0    0    6.9894
    0   20    6.9894
    0   40    6.9894
    0   60    6.9894
    0   80    6.9894
    0  100    6.9894
    0  120    6.9894
    0  140    6.9894
    0  160    6.9894
   12 -180    6.9145
   12 -160    6.9235
   12 -140    6.9499
   12 -120    6.9916
   12 -100    7.0449
   12  -80    7.1039
   12  -60    7.1617
   12  -40    7.2104
   12  -20     7.243
   12    0    7.2545
   12   20     7.243
   12   40    7.2104
   12   60    7.1617
   12   80    7.1039
   12  100    7.0449
   12  120    6.9916
   12  140    6.9499
   12  160    6.9235
   24 -180    7.0632
   24 -160    7.0778
   24 -140    7.1218
   24 -120     7.194
   24 -100    7.2906
   24  -80    7.4032
   24  -60    7.5182
   24  -40    7.6185
   24  -20    7.6872
   24    0    7.7116
   24   20    7.6872
   24   40    7.6185
   24   60    7.5182
   24   80    7.4032
   24  100    7.2906
   24  120     7.194
   24  140    7.1218
   24  160    7.0778
   36 -180    7.5108
   36 -160    7.5268
   36 -140    7.5765
   36 -120    7.6636
   36 -100    7.7885
   36  -80    7.9433
   36  -60    8.1094
   36  -40    8.2596
   36  -20    8.3646
   36    0    8.4025
   36   20    8.3646
   36   40    8.2596
   36   60    8.1094
   36   80    7.9433
   36  100    7.7885
   36  120    7.6636
   36  140    7.5765
   36  160    7.5268
   48 -180    8.3959
   48 -160    8.4077
   48 -140    8.4482
   48 -120    8.5297
   48 -100    8.6615
   48  -80    8.8404
   48  -60    9.0448
   48  -40    9.2376
   48  -20    9.3759
   48    0    9.4263
   48   20    9.3759
   48   40    9.2376
   48   60    9.0448
   48   80    8.8404
   48  100    8.6615
   48  120    8.5297
   48  140    8.4482
   48  160    8.4077
   60 -180    9.9585
   60 -160    9.9594
   60 -140    9.9724
   60 -120    10.022
   60 -100    10.131
   60  -80    10.307
   60  -60    10.527
   60  -40    10.746
   60  -20    10.909
   60    0    10.969
   60   20    10.909
   60   40    10.746
   60   60    10.527
   60   80    10.307
   60  100    10.131
   60  120    10.022
   60  140    9.9724
   60  160    9.9594
   72 -180      12.5
   72 -160    12.484
   72 -140    12.451
   72 -120    12.439
   72 -100    12.487
   72  -80    12.616
   72  -60     12.81
   72  -40     13.02
   72  -20    13.183
   72    0    13.244
   72   20    13.183
   72   40     13.02
   72   60     12.81
   72   80    12.616
   72  100    12.487
   72  120    12.439
   72  140    12.451
   72  160    12.484
   84 -180    14.638
   84 -160    14.615
   84 -140     14.56
   84 -120    14.503
   84 -100    14.479
   84  -80     14.51
   84  -60    14.592
   84  -40    14.696
   84  -20    14.782
   84    0    14.816
   84   20    14.782
   84   40    14.696
   84   60    14.592
   84   80     14.51
   84  100    14.479
   84  120    14.503
   84  140     14.56
   84  160    14.615
500
    0 -180    6.9894
    0 -160    6.9894
    0 -140    6.9894
    0 -120    6.9894
    0 -100    6.9894
    0  -80    6.9894
    0  -60    6.9894
    0  -40    6.9894
    0  -20    6.9894
    0    0    6.9894
    0   20    6.9894
    0   40    6.9894
    0   60    6.9894
    0   80    6.9894
    0  100    6.9894
    0  120    6.9894
    0  140    6.9894
    0  160    6.9894
   12 -180    6.9145
   12 -160    6.9235
   12 -140    6.9499
   12 -120    6.9916
   12 -100    7.0449
   12  -80    7.1039
   12  -60    7.1617
   12  -40    7.2104
   12  -20     7.243
   12    0    7.2545
   12   20     7.243
   12   40    7.2104
   12   60    7.1617
   12   80    7.1039
   12  100    7.0449
   12  120    6.9916
   12  140    6.9499
   12  160    6.9235
   24 -180    7.0632
   24 -160    7.0778
   24 -140    7.1218
   24 -120     7.194
   24 -100    7.2906
   24  -80    7.4032
   24  -60    7.5182
   24  -40    7.6185
   24  -20    7.6872
   24    0    7.7116
   24   20    7.6872
   24   40    7.6185
   24   60    7.5182
   24   80    7.4032
   24  100    7.2906
   24  120     7.194
   24  140    7.1218
   24  160    7.0778
   36 -180    7.5108
   36 -160    7.5268
   36 -140    7.5765
   36 -120    7.6636
   36 -100    7.7885
   36  -80    7.9433
   36  -60    8.1094
   36  -40    8.2596
   36  -20    8.3646
   36    0    8.4025
   36   20    8.3646
   36   40    8.2596
   36   60    8.1094
   36   80    7.9433
   36  100    7.7885
   36  120    7.6636
   36  140    7.5765
   36  160    7.5268
   48 -180    8.3959
   48 -160    8.4077
   48 -140    8.4482
   48 -120    8.5297
